Region Code,TEA Region,County Number,County Name,sy_end,demo_cat_type,economic_status,enrolled_8th,graduated,total_enrolled,total_degrees,graduated_percent,total_enrolled_percent,total_degrees_percent
12,WACO,73,FALLS,2013,econ_status,Not Economically Disadvantaged,18,18,14,12,100%,77%,66%
12,WACO,81,FREESTONE,2013,econ_status,Economically Disadvantaged,94,78,37,17,82%,39%,18%
12,WACO,81,FREESTONE,2013,econ_status,Not Economically Disadvantaged,147,133,103,65,90%,70%,44%
12,WACO,97,HAMILTON,2013,econ_status,Not Economically Disadvantaged,52,46,38,26,88%,73%,50%
12,WACO,109,HILL,2013,econ_status,Economically Disadvantaged,259,210,124,47,81%,47%,18%
12,WACO,109,HILL,2013,econ_status,Not Economically Disadvantaged,129,121,96,68,93%,74%,52%
12,WACO,141,LAMPASAS,2013,econ_status,Economically Disadvantaged,136,101,32,12,74%,23%,8%
12,WACO,141,LAMPASAS,2013,econ_status,Not Economically Disadvantaged,143,126,93,47,88%,65%,32%
12,WACO,147,LIMESTONE,2013,econ_status,Economically Disadvantaged,168,144,76,27,85%,45%,16%
12,WACO,147,LIMESTONE,2013,econ_status,Not Economically Disadvantaged,94,86,64,32,91%,68%,34%
12,WACO,161,MCLENNAN,2013,econ_status,Economically Disadvantaged,2076,1622,1052,404,78%,50%,19%
12,WACO,161,MCLENNAN,2013,econ_status,Not Economically Disadvantaged,1373,1222,1028,620,89%,74%,45%
12,WACO,167,MILLS,2013,econ_status,Economically Disadvantaged,24,20,10,5,83%,41%,20%
12,WACO,167,MILLS,2013,econ_status,Not Economically Disadvantaged,22,22,19,13,100%,86%,59%
12,WACO,175,NAVARRO,2013,econ_status,Economically Disadvantaged,443,347,210,79,78%,47%,17%
