sy_end,Region Code,TEA Region,County Number,County Name,district_id,district_name,demo_cat_type,enrolled_8th,graduated,total_enrolled,total_degrees,has_any_masked,gender,economic_status,ethnicity,graduated_percent,total_enrolled_percent,total_degrees_percent
2013,16.0,AMARILLO,,,,,gender,2881,2309,1262,588,,Male,,,80.1457827143353%,43.80423464074974%,20.409580006942036%
2013,16.0,AMARILLO,,,,,gender,2846,2424,1735,960,,Female,,,85.17217146872804%,60.962754743499644%,33.731553056921996%
2013,16.0,AMARILLO,,,,,ethnicity,2651,2238,1590,893,,,,White,84.42097321765371%,59.97736703130894%,33.68540173519426%
2013,16.0,AMARILLO,,,,,ethnicity,218,161,116,38,,,,African American,73.85321100917432%,53.21100917431193%,17.431192660550458%
2013,16.0,AMARILLO,,,,,ethnicity,2433,2015,1096,527,,,,Hispanic,82.81956432387997%,45.04726674886971%,21.660501438553226%
2013,16.0,AMARILLO,,,,,total,5727,4733,2997,1548,,,,,82.64361795006111%,52.331063383970665%,27.029858564693555%
2013,17.0,LUBBOCK,,,,,econ_status,2802,2146,1070,344,,,Economically Disadvantaged,,76.58815132048537%,38.18700927908637%,12.276945039257674%
2013,17.0,LUBBOCK,,,,,total,5295,4349,2708,1300,,,,,82.13408876298395%,51.14258734655335%,24.551463644948065%
2013,17.0,LUBBOCK,,,,,econ_status,2343,2067,1585,938,,,Not Economically Disadvantaged,,88.2202304737516%,67.64831412718738%,40.03414425949637%
2013,17.0,LUBBOCK,,,,,ethnicity,2912,2356,1241,490,,,,Hispanic,80.9065934065934%,42.61675824175824%,16.826923076923077%
2013,17.0,LUBBOCK,,,,,ethnicity,309,232,131,32,,,,African American,75.08090614886731%,42.394822006472495%,10.355987055016183%
2013,17.0,LUBBOCK,,,,,ethnicity,1821,1532,1170,680,,,,White,84.12959912136189%,64.2504118616145%,37.34211971444261%
2013,17.0,LUBBOCK,,,,,gender,2673,2237,1518,791,,Female,,,83.6887392442948%,56.79012345679012%,29.59221848110737%
