DISTRICT,DISTNAME,COUNTY,CNTYNAME,REGION,REGNNAME,D_RATING,DD1G,DD2G,DD2AG,DD2BG,DD3G,DD1S,DD2AS,DD2BS,DD3S,DPETLEPC,DPETECOC,DPETALLC,DPETSPEC,DPETSTEC,DPETECHC,DPETPTEC,DPE0312C,DPETLEPP,DPETSPEP,DPETECHP,DPETPTEP,DPETSTEP,DPE0312P,DD2S,DDALLS
"015908","SOUTH SAN ANTONIO ISD","015","BEXAR","20","REGION 20: SAN ANTONIO","D","D","D","D","D","C",60,68,68,71,1624,6911,7426,1235,0,430,13,5361,21.9,16.6,5.8,0.2,0,72.2,68,69
"015909","SOMERSET ISD","015","BEXAR","20","REGION 20: SAN ANTONIO","B","B","B","C","B","B",82,75,89,83,1003,3475,4243,591,0,130,0,3102,23.6,13.9,3.1,0,0,73.1,89,87
"015910","NORTH EAST ISD","015","BEXAR","20","REGION 20: SAN ANTONIO","C","C","C","C","C","C",78,73,77,77,11526,29659,57199,8546,0,0,0,44181,20.2,14.9,0,0,0,77.2,77,78
"015911","EAST CENTRAL ISD","015","BEXAR","20","REGION 20: SAN ANTONIO","D","F","D","D","D","F",59,64,61,59,1526,7871,11167,1621,0,0,92,8244,13.7,14.5,0,0.8,0,73.8,64,63
"015912","SOUTHWEST ISD","015","BEXAR","20","REGION 20: SAN ANTONIO","C","D","C","D","C","C",69,66,73,70,2719,11576,14181,2587,0,270,0,10520,19.2,18.2,1.9,0,0,74.2,73,72
"015913","LACKLAND ISD","015","BEXAR","20","REGION 20: SAN ANTONIO","B","B","C","C","D","B",83,78,64,86,17,151,1033,135,0,0,0,684,1.6,13.1,0,0,0,66.2,78,84
"015914","FT SAM HOUSTON ISD","015","BEXAR","20","REGION 20: SAN ANTONIO","A","A","B","B","C","A",91,83,79,93,47,327,1605,247,0,0,0,1154,2.9,15.4,0,0,0,71.9,83,92
"015915","NORTHSIDE ISD","015","BEXAR","20","REGION 20: SAN ANTONIO","C","C","C","C","C","C",75,76,72,76,13393,52723,100600,15978,0,0,0,76198,13.3,15.9,0,0,0,75.7,76,76
"015916","JUDSON ISD","015","BEXAR","20","REGION 20: SAN ANTONIO","C","D","C","D","C","C",67,67,70,71,2944,16677,23808,4178,0,428,237,16890,12.4,17.5,1.8,1,0,70.9,70,70
"015917","SOUTHSIDE ISD","015","BEXAR","20","REGION 20: SAN ANTONIO","B","C","B","C","B","C",74,71,82,76,1463,5340,6025,1060,0,407,0,4298,24.3,17.6,6.8,0,0,71.3,82,80
"016901","JOHNSON CITY ISD","016","BLANCO","13","REGION 13: AUSTIN","B","B","B","C","B","B",87,76,82,84,55,292,715,115,0,0,0,540,7.7,16.1,0,0,0,75.5,82,86
"016902","BLANCO ISD","016","BLANCO","13","REGION 13: AUSTIN","B","C","C","C","C","B",79,77,74,81,105,505,1102,169,0,0,0,848,9.5,15.3,0,0,0,77,77,80
"017901","BORDEN COUNTY ISD","017","BORDEN","17","REGION 17: LUBBOCK","A","A","A","C","A","A",96,74,91,95,1,74,241,21,0,0,0,171,0.4,8.7,0,0,0,71,91,96
