CAMPUS,DISTRICT,CAMPNAME,COUNTY,DISTNAME,REGION,CNTYNAME,GRDTYPE,GRDSPAN,CFLCHART,CFLALTED,PAIRCAMP,PAIRNAME,CAMPNAME_CLEAN
14801007,14801,RICHARD MILBURN ACADEMY CORPUS CHR,14,RICHARD MILBURN ALTER HIGH SCHOOL,20,BELL,S,09 - 12,Y,Y, , ,Richard Milburn Academy Corpus Chr
14801008,14801,RICHARD MILBURN ACADEMY AMARILLO,14,RICHARD MILBURN ALTER HIGH SCHOOL,20,BELL,S,09 - 12,Y,Y, , ,Richard Milburn Academy Amarillo
14801009,14801,RICHARD MILBURN ACADEMY PASADENA,14,RICHARD MILBURN ALTER HIGH SCHOOL,20,BELL,S,09 - 12,Y,Y, , ,Richard Milburn Academy Pasadena
14801010,14801,RICHARD MILBURN ACADEMY MIDLAND SO,14,RICHARD MILBURN ALTER HIGH SCHOOL,20,BELL,S,09 - 12,Y,Y, , ,Richard Milburn Academy Midland So
14803002,14803,GEORGETOWN CHARTER ACADEMY,14,PRIORITY CHARTER SCHOOLS,12,BELL,E,PK - 08,Y,N, , ,Georgetown Charter Academy
14803003,14803,COVE CHARTER ACADEMY,14,PRIORITY CHARTER SCHOOLS,12,BELL,B,PK - 12,Y,N, , ,Cove Charter Academy
14803004,14803,CEDAR PARK CHARTER ACADEMY,14,PRIORITY CHARTER SCHOOLS,12,BELL,B,PK - 11,Y,N, , ,Cedar Park Charter Academy
14803101,14803,TEMPLE CHARTER ACADEMY,14,PRIORITY CHARTER SCHOOLS,12,BELL,B,PK - 12,Y,N, , ,Temple Charter Academy
14804002,14804,NEW HORIZONS,14,ORENDA CHARTER SCHOOL,12,BELL,B,02 - 11,Y,Y, , ,New Horizons
14804005,14804,GATEWAY TECH H S,14,ORENDA CHARTER SCHOOL,12,BELL,S,09 - 12,Y,Y, , ,Gateway Tech High School
14804006,14804,GATEWAY COLLEGE PREPARATORY SCHOOL,14,ORENDA CHARTER SCHOOL,12,BELL,B,KG - 12,Y,N, , ,Gateway College Preparatory School
14804007,14804,NOLAN CREEK SCHOOL,14,ORENDA CHARTER SCHOOL,12,BELL,E,KG - 07,Y,N, , ,Nolan Creek School
14804008,14804,KINGSLAND SCHOOL,14,ORENDA CHARTER SCHOOL,12,BELL,B,KG - 09,Y,N, , ,Kingsland School
