CAMPUS,DISTRICT,CAMPNAME,COUNTY,DISTNAME,REGION,CNTYNAME,GRDTYPE,GRDSPAN,CFLCHART,CFLALTED,PAIRCAMP,PAIRNAME,CAMPNAME_CLEAN,CD1G,CD2G,CD3G,C_RATING
007904103,7904.0,LYTLE PRIMARY SCHOOL,7.0,LYTLE ISD,20.0,ATASCOSA,E,EE - 01,N,N,007904101,LYTLE EL,Lytle Primary School,Not Rated: Paired Campus,Not Rated: Paired Campus,Not Rated: Paired Campus,D
007905001,7905.0,PLEASANTON H S,7.0,PLEASANTON ISD,20.0,ATASCOSA,S,09 - 12,N,N, , ,Pleasanton High School,B,B,C,B
007905004,7905.0,ATASCOSA CO ALTER,7.0,PLEASANTON ISD,20.0,ATASCOSA,M,08 - 09,N,N, , ,Atascosa Co Alter,Not Rated,Not Rated,Not Rated,Not Rated
007905005,7905.0,PLEASANTON ISD SCHOOL OF CHOICE,7.0,PLEASANTON ISD,20.0,ATASCOSA,S,10 - 12,N,Y, , ,Pleasanton Isd School Of Choice,B,Not Rated,Not Rated,B
007905041,7905.0,PLEASANTON J H,7.0,PLEASANTON ISD,20.0,ATASCOSA,M,06 - 08,N,N, , ,Pleasanton Junior High,D,D,F,D
007905103,7905.0,PLEASANTON EL,7.0,PLEASANTON ISD,20.0,ATASCOSA,E,02 - 05,N,N, , ,Pleasanton Elementary School,D,F,F,F
007905105,7905.0,PLEASANTON PRI,7.0,PLEASANTON ISD,20.0,ATASCOSA,E,EE - 01,N,N,007905103,PLEASANTON EL,Pleasanton Primary School,Not Rated: Paired Campus,Not Rated: Paired Campus,Not Rated: Paired Campus,F
007906001,7906.0,POTEET H S,7.0,POTEET ISD,20.0,ATASCOSA,S,09 - 12,N,N, , ,Poteet High School,C,B,C,B
007906041,7906.0,POTEET J H,7.0,POTEET ISD,20.0,ATASCOSA,M,06 - 08,N,N, , ,Poteet Junior High,D,C,D,C
007906101,7906.0,POTEET EL,7.0,POTEET ISD,20.0,ATASCOSA,E,EE - 03,N,N, , ,Poteet Elementary School,D,C,D,D
007906102,7906.0,POTEET INT,7.0,POTEET ISD,20.0,ATASCOSA,E,04 - 05,N,N, , ,Poteet Intermediate School,C,C,C,C
008901001,8901.0,BELLVILLE H S,8.0,BELLVILLE ISD,6.0,AUSTIN,S,09 - 12,N,N, , ,Bellville High School,B,B,C,B
008901041,8901.0,BELLVILLE J H,8.0,BELLVILLE ISD,6.0,AUSTIN,M,06 - 08,N,N, , ,Bellville Junior High,B,B,C,B
008901101,8901.0,O'BRYANT PRI,8.0,BELLVILLE ISD,6.0,AUSTIN,E,EE - 03,N,N, , ,O'Bryant Primary School,C,B,C,C
008901102,8901.0,O'BRYANT INT,8.0,BELLVILLE ISD,6.0,AUSTIN,E,04 - 05,N,N, , ,O'Bryant Intermediate School,C,C,C,C
008901105,8901.0,WEST END EL,8.0,BELLVILLE ISD,6.0,AUSTIN,E,KG - 05,N,N, , ,West End Elementary School,B,C,C,B
008902001,8902.0,SEALY H S,8.0,SEALY ISD,6.0,AUSTIN,S,09 - 12,N,N, , ,Sealy High School,B,B,C,B
008902041,8902.0,SEALY J H,8.0,SEALY ISD,6.0,AUSTIN,M,06 - 08,N,N, , ,Sealy Junior High,C,B,D,C
008902102,8902.0,SELMAN EL,8.0,SEALY ISD,6.0,AUSTIN,E,EE - 05,N,N, , ,Selman Elementary School,C,A,C,B
008902104,8902.0,SEALY EL,8.0,SEALY ISD,6.0,AUSTIN,E,PK - 05,N,N, , ,Sealy Elementary School,D,C,D,D
008903001,8903.0,BRAZOS H S,8.0,BRAZOS ISD,6.0,AUSTIN,S,09 - 12,N,N, , ,Brazos High School,B,B,B,B
008903041,8903.0,BRAZOS MIDDLE,8.0,BRAZOS ISD,6.0,AUSTIN,M,06 - 08,N,N, , ,Brazos Middle School,B,A,B,A
